Unit.ID,Lot,Case.No,Case.L,Neck.Idia,Neck.Odia,Neck.Thick,Neck.Err,HS,PPDpth,PPDia,Case.Wgt,CMS,Media.Wgt,Volume.Correction,Corr.Media.Wgt,Case.Vol,Pr.Wgt,Bullet.OL,Bullet.Wgt,Reload.Ord,DOL,PC,OLC,ALC,ADOL,DOL.Err,OCWgt,SumWgt,WgtErr,Box.Ord,Target.No,Time,Temp,Velocity,Clean.No,Group.No,Day,,Vertical,Horizontal,DFB,include
1.11,lot1,11,1.7420,0.2200,0.2415,0.0115,-0.0015,-10.0000,0.1180,0.1720,92.7000,0.0000,90.4000,1.0019,90.5755,45.2877,3.3000,0.8100,55.0000,324.0000,0.0050,26.1000,1.9480,1.9470,0.0060,10.0000,177.0000,177.1000,0.1000,267.0000,267.0000,12:55,56.3000,3443.0000,43.0000,6.0000,2.0000,,1.5000,5.0000,5.2202,1
1.12,lot1,12,1.7459,0.2205,0.2415,0.0115,-0.0020,-11.0000,0.1185,0.1715,92.6000,0.0000,90.4000,1.0019,90.5755,45.2877,3.3000,0.8090,55.1000,158.0000,0.0300,25.6000,1.9230,1.9230,0.0300,0.0000,176.5000,176.6000,0.1000,120.0000,120.0000,14:06,72.5000,3393.0000,24.0000,4.0000,1.0000,,5.5000,-5.5000,7.7782,1
1.13,lot1,13,1.7470,0.2205,0.2415,0.0115,-0.0020,-11.0000,0.1185,0.1715,92.8000,0.0000,90.6000,1.0019,90.7759,45.3879,3.3000,0.8110,54.9000,371.0000,0.0100,26.2000,1.9430,1.9430,0.0100,0.0000,177.4000,177.2000,-0.2000,200.0000,200.0000,16:02,66.7000,3374.0000,72.0000,5.0000,1.0000,,50.0000,-30.0000,58.3095,1
1.14,lot1,14,1.7453,0.2200,0.2410,0.0115,-0.0020,-10.5000,0.1195,0.1705,93.1000,0.0000,90.6000,1.0019,90.7759,45.3879,3.2000,0.8100,55.1000,278.0000,0.0300,25.9000,1.9230,1.9230,0.0300,0.0000,177.4000,177.3000,-0.1000,210.0000,210.0000,16:13,66.0000,,82.0000,5.0000,1.0000,,-3.5000,2.0000,4.0311,1
1.15,lot1,15,1.7482,0.2205,0.2415,0.0115,-0.0020,-10.5000,0.1190,0.1705,94.1000,0.0000,90.1000,1.0019,90.2749,45.1375,3.3000,0.8110,55.0000,257.0000,0.0150,25.9000,1.9380,1.9380,0.0150,0.0000,178.2000,178.3000,0.1000,141.0000,141.0000,14:50,71.2000,3557.0000,13.0000,5.0000,1.0000,velocity missmatch,-13.0000,4.0000,13.6015,1
1.16,lot1,16,1.7442,0.2205,0.2415,0.0110,-0.0010,-10.0000,0.1195,0.1715,93.5000,0.0000,90.4000,1.0019,90.5755,45.2877,3.3000,0.8110,55.0000,325.0000,0.0050,26.1000,1.9480,1.9485,0.0045,-5.0000,177.9000,177.9000,0.0000,192.0000,192.0000,15:42,68.4000,,64.0000,5.0000,1.0000,,35.5000,-20.0000,40.7462,1
1.17,lot1,17,1.7500,0.2200,0.2410,0.0115,-0.0020,-8.5000,0.1185,0.1715,93.8000,0.0000,91.2000,1.0019,91.3770,45.6885,3.3000,0.8100,55.0000,143.0000,0.0200,25.6000,1.9330,1.9330,0.0200,0.0000,177.7000,177.7000,0.0000,119.0000,119.0000,14:03,72.5000,,23.0000,4.0000,1.0000,,25.5000,-32.5000,41.3098,1
1.18,lot1,18,1.7439,0.2205,0.2410,0.0115,-0.0025,-10.0000,0.1175,0.1715,93.3000,0.0000,90.4000,1.0019,90.5755,45.2877,3.2000,0.8100,54.9000,351.0000,0.0250,26.1000,1.9280,1.9280,0.0250,0.0000,177.5000,177.5000,0.0000,245.0000,245.0000,12:26,55.8000,3433.0000,21.0000,6.0000,2.0000,,-15.5000,9.0000,17.9234,1
1.19,lot1,19,1.7480,0.2205,0.2410,0.0115,-0.0025,-9.0000,0.1175,0.1720,92.1000,0.0000,91.1000,1.0019,91.2769,45.6384,3.2000,0.8100,55.0000,378.0000,0.0150,26.2000,1.9380,1.9380,0.0150,0.0000,176.6000,176.5000,-0.1000,319.0000,319.0000,14:25,55.8000,,31.0000,7.0000,2.0000,"target upside down, shot up & to left outside bullseye",-9.5000,21.0000,23.0489,1
1.20,lot1,20,1.7459,0.2205,0.2415,0.0115,-0.0020,-10.0000,0.1190,0.1705,92.9000,0.0000,90.8000,1.0019,90.9763,45.4881,3.3000,0.8120,55.1000,318.0000,0.0300,26.0000,1.9230,1.9230,0.0300,0.0000,177.4000,177.3000,-0.1000,92.0000,92.0000,13:03,73.8000,3442.0000,18.0000,3.0000,1.0000,,2.0000,3.0000,3.6056,1
